year,faction_id,faction_name_ru,members_count,total_faction_power,raw_power_share,normalized_power_share,mean_age,weighted_mean_age,mean_political_age,weighted_mean_political_age,mean_elite_age,share_60_plus,share_70_plus
1911,imp_dynastic_court,Династический двор,1,1.0,0.3846,0.3883,43.12,43.12,16.66,16.66,16.66,0.0,0.0
1911,imp_bureaucratic_reformers,Бюрократические реформаторы,1,0.595,0.2288,0.2311,49.21,49.21,22.49,22.49,4.98,0.0,0.0
1911,imp_security_police,Охранно-полицейский аппарат,1,0.525,0.2019,0.2039,49.21,49.21,22.49,22.49,4.98,0.0,0.0
1911,imp_conservative_bureaucracy,Консервативная бюрократия,1,0.455,0.175,0.1767,49.21,49.21,22.49,22.49,4.98,0.0,0.0
1912,imp_dynastic_court,Династический двор,1,1.0,0.4762,0.8621,44.12,44.12,17.66,17.66,17.66,0.0,0.0
1912,imp_court_favorites,Придворные фавориты / личный доступ,1,0.16,0.0762,0.1379,43.44,43.44,7.5,7.5,0.5,0.0,0.0
1913,imp_dynastic_court,Династический двор,1,1.0,0.4762,0.8621,45.12,45.12,18.66,18.66,18.66,0.0,0.0
1913,imp_court_favorites,Придворные фавориты / личный доступ,1,0.16,0.0762,0.1379,44.44,44.44,8.5,8.5,1.5,0.0,0.0
1914,imp_dynastic_court,Династический двор,1,1.0,0.6452,0.8621,46.12,46.12,19.66,19.66,19.66,0.0,0.0
1914,imp_court_favorites,Придворные фавориты / личный доступ,1,0.16,0.1032,0.1379,45.44,45.44,9.5,9.5,2.5,0.0,0.0
1915,imp_dynastic_court,Династический двор,1,1.0,0.4444,0.8621,47.12,47.12,20.66,20.66,20.66,0.0,0.0
1915,imp_court_favorites,Придворные фавориты / личный доступ,1,0.16,0.0711,0.1379,46.44,46.44,10.49,10.49,3.5,0.0,0.0
1916,imp_dynastic_court,Династический двор,1,1.0,0.4255,0.8621,48.12,48.12,21.66,21.66,21.66,0.0,0.0
1916,imp_court_favorites,Придворные фавориты / личный доступ,1,0.16,0.0681,0.1379,47.44,47.44,11.5,11.5,4.5,0.0,0.0
1917,imp_zemstvo_liberal,Земско-либеральный контур,2,1.175,0.5732,1.0,45.91,47.45,9.0,9.55,0.3,0.0,0.0
1918,rev_old_bolsheviks,Старые большевики,6,3.485,0.85,0.4304,38.41,39.48,20.49,21.13,0.65,0.0,0.0
1918,rev_bolshevik_center,Большевистский центр,4,2.3325,0.5689,0.2881,39.14,41.49,20.49,21.89,0.68,0.0,0.0
1918,rev_sovnarkom_government,Совнарком / правительственный контур,1,0.95,0.2317,0.1173,48.19,48.19,25.49,25.49,0.64,0.0,0.0
1918,rev_trotsky_military,Троцкистско-военный контур,1,0.7125,0.1738,0.088,38.65,38.65,21.49,21.49,0.69,0.0,0.0
1918,rev_cheka_security,ЧК / ранний аппарат безопасности,1,0.6175,0.1506,0.0763,40.8,40.8,23.49,23.49,0.53,0.0,0.0
1919,rev_old_bolsheviks,Старые большевики,6,3.4425,0.85,0.3901,38.85,40.11,20.66,21.49,1.42,0.0,0.0
1919,rev_bolshevik_center,Большевистский центр,5,2.6625,0.6574,0.3017,38.25,41.03,19.89,21.72,1.4,0.0,0.0
1919,rev_sovnarkom_government,Совнарком / правительственный контур,1,0.95,0.2346,0.1076,49.19,49.19,26.49,26.49,1.64,0.0,0.0
1919,rev_trotsky_military,Троцкистско-военный контур,1,0.7125,0.1759,0.0807,39.64,39.64,22.49,22.49,1.69,0.0,0.0
1919,rev_cheka_security,ЧК / ранний аппарат безопасности,1,0.6175,0.1525,0.07,41.8,41.8,24.49,24.49,1.53,0.0,0.0
1919,rev_left_communists,Левые коммунисты,1,0.44,0.1086,0.0499,30.72,30.72,13.5,13.5,0.27,0.0,0.0
1920,rev_old_bolsheviks,Старые большевики,6,3.4425,0.85,0.3901,39.85,41.11,21.66,22.5,2.42,0.0,0.0
1920,rev_bolshevik_center,Большевистский центр,5,2.6625,0.6574,0.3017,39.26,42.03,20.9,22.72,2.4,0.0,0.0
1920,rev_sovnarkom_government,Совнарком / правительственный контур,1,0.95,0.2346,0.1076,50.19,50.19,27.49,27.49,2.64,0.0,0.0
1920,rev_trotsky_military,Троцкистско-военный контур,1,0.7125,0.1759,0.0807,40.65,40.65,23.49,23.49,2.69,0.0,0.0
1920,rev_cheka_security,ЧК / ранний аппарат безопасности,1,0.6175,0.1525,0.07,42.8,42.8,25.5,25.5,2.53,0.0,0.0
1920,rev_left_communists,Левые коммунисты,1,0.44,0.1086,0.0499,31.72,31.72,14.5,14.5,1.27,0.0,0.0
1921,rev_old_bolsheviks,Старые большевики,7,3.995,0.7398,0.4036,40.77,41.86,22.78,23.49,2.96,0.0,0.0
1921,rev_bolshevik_center,Большевистский центр,5,2.6625,0.4931,0.269,40.26,43.03,21.9,23.72,3.4,0.0,0.0
1921,rev_sovnarkom_government,Совнарком / правительственный контур,2,1.47,0.2722,0.1485,45.77,47.35,25.99,26.72,1.94,0.0,0.0
1921,rev_trotsky_military,Троцкистско-военный контур,1,0.7125,0.1319,0.072,41.65,41.65,24.49,24.49,3.69,0.0,0.0
1921,rev_cheka_security,ЧК / ранний аппарат безопасности,1,0.6175,0.1144,0.0624,43.8,43.8,26.49,26.49,3.53,0.0,0.0
1921,rev_left_communists,Левые коммунисты,1,0.44,0.0815,0.0445,32.72,32.72,15.5,15.5,2.27,0.0,0.0
1922,rev_old_bolsheviks,Старые большевики,8,4.845,0.757,0.4323,41.99,42.98,23.87,24.49,4.05,0.0,0.0
1922,rev_bolshevik_center,Большевистский центр,5,2.6625,0.416,0.2376,41.26,44.03,22.9,24.72,4.4,0.0,0.0
1922,rev_sovnarkom_government,Совнарком / правительственный контур,2,1.47,0.2297,0.1312,46.77,48.35,26.99,27.72,2.94,0.0,0.0
1922,rev_party_org_apparatus,Партийно-организационный аппарат,1,0.9,0.1406,0.0803,43.53,43.53,24.49,24.49,4.64,0.0,0.0
1922,rev_trotsky_military,Троцкистско-военный контур,1,0.7125,0.1113,0.0636,42.65,42.65,25.49,25.49,4.69,0.0,0.0
1922,rev_cheka_security,ЧК / ранний аппарат безопасности,1,0.6175,0.0965,0.0551,44.8,44.8,27.49,27.49,4.53,0.0,0.0
1923,rev_old_bolsheviks,Старые большевики,8,4.845,0.757,0.4323,42.99,43.98,24.87,25.49,5.05,0.0,0.0
1923,rev_bolshevik_center,Большевистский центр,5,2.6625,0.416,0.2376,42.25,45.03,23.89,25.72,5.4,0.0,0.0
